1000	19648.5
2000	17122.2
4000	16528.3
5000	16500.8
6000	15777.6
7000	14938.9
8000	14266.7
9000	14049.5
10000	13823.6
12000	13159.4
15000	12591.3
16000	12101.2
18000	11464.2
19000	11283.5
20000	11266.6
21000	11119.2
22000	11022.2
23000	10900
25000	10823.7
27000	10769.9
29000	10730.7
31000	10722.4
32000	10670.1
33000	10660.4
34000	10660.1
35000	10660
36000	10594.3
39000	10594.2
42000	10571.9
43000	10523.8
44000	10510.4
45000	10501.5
46000	10491.5
47000	10491.4
48000	10165.3
49000	10102.1
50000	10066
51000	10063.4
52000	9826.69
53000	9737.4
56000	9689.53
59000	9594.26
63000	9566.58
64000	9525.73
67000	9487.19
68000	9369.4
70000	9324.99
71000	9298.7
72000	9169.76
73000	9160.14
